record_id,schema_version,statement_date,organization_or_domain,related_entity,relationship_to_entity,primary_domain,public_discourse_category,topic,claim_type,assertion_mode,statement_paraphrase,target_date_or_timeframe,statement_source_url,statement_source_title,statement_source_tier,evaluation_date,verdict_category,display_verdict,score_points,include_in_trust_score,exclusion_reason,classification_rationale,credible_sources_contest_claim,contestation_resolution,correction_status,correction_date,deleted_after_challenge,repeated_after_correction,documented_repetition_count,deadline_result,eventual_outcome,factual_accuracy,deception_intent_status,outcome_summary,outcome_source_1_url,outcome_source_1_title,outcome_source_2_url,outcome_source_2_title,confidence,selection_basis,source_quality_notes,methodology_notes,v3_change_type,legacy_methodology_notes,legacy_statement_type,legacy_verdict,legacy_weighted_reliability_score,legacy_included_in_site_percentage
TESLA-011,3.0,2018-05-02,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Model 3 production,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Reach 5,000 Model 3 vehicles per week by the end of Q2 2018.",2018-06-30,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,Mostly True,Mostly Correct,75,Yes,,The central outcome occurred with a relatively limited delay.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed by hours,Substantially fulfilled,Not applicable,Not established,"Tesla reported 5,031 Model 3 vehicles in the final seven days of Q2, but Reuters reported the milestone was reached hours after the quarter-end deadline.",https://www.reuters.com/article/business/exclusive-tesla-hits-model-3-manufacturing-milestone-hours-after-deadline-fa-idUSKBN1JR1WX/,Tesla hits Model 3 manufacturing milestone hours after deadline,https://ir.tesla.com/press-release/tesla-q2-2018-vehicle-production-and-deliveries,Tesla Q2 2018 vehicle production and deliveries,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Mostly True category at 75 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Revised dated forecast,FULFILLED_LATE,0.75,Yes
TESLA-012,3.0,2018-07,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Model 3 production,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Increase Model 3 production to 6,000 per week by late August 2018.",2018-08-31,https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla averaged roughly 4,300 Model 3 vehicles per week in Q3 2018 rather than sustaining 6,000.",https://www.reuters.com/article/technology/tesla-worried-by-china-tariffs-even-as-deliveries-surge-idUSKCN1MC1LY/,Tesla worried by China tariffs even as deliveries surge,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-013,3.0,2017-08-02,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Model 3 production,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Reach 10,000 Model 3 vehicles per week toward the end of 2018.",2018-12-31,https://www.reuters.com/article/world/uk/factbox-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500J/,Factbox: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,"Tesla did not reach a sustained 10,000-per-week Model 3 production rate in 2018.",https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
TESLA-014,3.0,2016-04,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Annual production,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source","Produce about 500,000 vehicles annually by 2020.",2020,https://www.reuters.com/article/us-tesla-model-idUSKCN0WY3JK/,"Tesla accelerates 500,000-car target to 2018",Tier 1 independent quoting Musk,2026-07-26,True,Correct,100,Yes,,The documented outcome matched the central commitment within the stated deadline.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Met for production,Fulfilled,Not applicable,Not established,"Tesla produced 509,737 vehicles in 2020; deliveries were 499,550.",https://ir.tesla.com/press-release/tesla-q4-2020-vehicle-production-deliveries,Tesla Q4 2020 vehicle production and deliveries,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 True category at 100 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,FULFILLED_ON_TIME,1.0,Yes
TESLA-015,3.0,2016-10-26,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Capital needs,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source",Launch Model 3 without needing a capital raise.,Before Model 3 launch,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,Tesla announced a roughly $1.15 billion stock and notes offering in March 2017 and later issued additional debt before Model 3 scaled.,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Business commitment,NOT_FULFILLED,0.0,Yes
TESLA-016,3.0,2018-05,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Profitability,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Become profitable in Q3 2018 and remain profitable on a sustained quarterly basis.,Starting Q3 2018,https://www.reuters.com/article/technology/timeline-tesla-ceo-elon-musks-promises-to-investors-idUSKBN1I500G/,Timeline: Tesla CEO Elon Musk's promises to investors,Tier 1 independent quoting Musk,2026-07-26,Misleading,Materially Late,50,Yes,,"The central outcome eventually occurred, but the missed deadline was material to the original claim.",No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Initial quarter met; sustained result late,Partially fulfilled or materially late,Not applicable,Not established,Tesla posted Q3 2018 profit but did not maintain uninterrupted quarterly profitability until later; Reuters identifies sustained profits beginning after Q3 2019.,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Misleading category at 50 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,FULFILLED_LATE,0.5,Yes
TESLA-017,3.0,2016-03-31,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Model 3 price,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source","Sell a base Model 3 for about $35,000.",At mass-market launch,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,Mostly True,Fulfilled Slightly Late,75,Yes,,The central outcome occurred with a relatively limited delay.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Higher-priced versions first,Substantially fulfilled,Not applicable,Not established,"Tesla made a $35,000 Model 3 available in February 2019, after selling more expensive versions first.",https://www.reuters.com/article/world/tesla-debuts-35000-model-3-sees-loss-in-first-quarter-idUSKCN1QH2VM/,"Tesla debuts $35,000 Model 3",,,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Mostly True category at 75 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Product promise,FULFILLED_LATE,0.75,Yes
TESLA-018,3.0,2020-09-22,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Affordable EV,Promise or Commitment,"Public company statement, interview, filing, presentation, or post documented by the cited source","Produce a fully autonomous Tesla costing about $25,000 in roughly three years.",Around 2023,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,False,Unfulfilled,0,Yes,,The deadline matured without the promised result being delivered under the original terms.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,"No $25,000 Tesla launched by 2023. Reuters reported the dedicated low-cost project was canceled, and Musk later called a human-driven $25,000 Tesla pointless.",https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,https://www.reuters.com/business/autos-transportation/musk-now-says-its-pointless-build-25000-tesla-human-drivers-2024-11-05/,"Musk says it is pointless to build a $25,000 Tesla for human drivers",High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated promise,NOT_FULFILLED,0.0,Yes
TESLA-019,3.0,2024-04-05,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Low-cost car,Factual Assertion,"Public company statement, interview, filing, presentation, or post documented by the cited source","Asserted that Reuters was lying when it reported Tesla had canceled the all-new $25,000 EV project.",Present-tense claim,https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,Tier 1 independent reproducing Musk's post,2026-07-26,Unsupported,Unsupported,25,Yes,,"Reuters reporting materially contradicts Musk's accusation, but the dispute was not conclusively adjudicated; it is scored Unsupported rather than False.",Yes,Unresolved,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Not applicable,Not applicable,Unsupported,Evidence suggesting knowledge; not judicially adjudicated,Reuters later reported that senior Tesla executives knew Musk had already canceled the project and questioned his public denial; Musk reportedly told them the project remained dead.,https://www.reuters.com/business/autos-transportation/tesla-executives-questioned-musk-after-he-denied-killing-25000-ev-project-2025-06-02/,"Tesla executives questioned Musk after he denied killing $25,000 EV project",https://www.reuters.com/business/autos-transportation/tesla-scraps-low-cost-car-plans-amid-fierce-chinese-ev-competition-2024-04-05/,Tesla scraps low-cost car plans,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 Unsupported category at 25 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"This row has unusually strong evidence bearing on knowledge, but no court has adjudicated the statement as fraud.",Factual assertion,FALSE_OR_UNSUPPORTED,0.0,Yes
TESLA-020,3.0,2015-12,Tesla,Tesla,Affiliated organization at time of statement,Business & Technology,,Full self-driving,Prediction or Forecast,"Public company statement, interview, filing, presentation, or post documented by the cited source",Tesla would achieve complete autonomous driving in about three years.,Around 2018,https://www.reuters.com/business/autos-transportation/elon-musks-late-unfulfilled-tesla-promises-2025-04-22/,Elon Musk's late and unfulfilled Tesla promises,Tier 1 independent,2026-07-26,False,Incorrect,0,Yes,,The measurable forecast did not occur within the stated timeframe.,No,,Not assessed in v2,,Not assessed in v2,Not assessed in v2,Not assessed in v2,Missed,Unfulfilled or reversed,Not applicable,Not established,Tesla's consumer system remained supervised and required an attentive driver through the evaluation date.,https://www.tesla.com/support/fsd,Tesla Full Self-Driving (Supervised) support page,https://www.nytimes.com/interactive/2026/06/02/technology/elon-musk-promises-spacex-ipo.html,Elon Musk Laid Out 602 Goals. We Counted How Many He Hit,High,"High-impact, concrete, externally verifiable claim or dated commitment","Primary source and/or major wire, official record, or established fact-checker",Scored under the v3 False category at 0 points. Migrated from v2 without changing the verdict or score. This verdict measures demonstrated reliability and does not by itself establish deceptive intent.,Migrated from v2,"A missed deadline is scored as a reliability failure, not automatically as a deliberate lie.",Dated forecast,NOT_FULFILLED,0.0,Yes
